Rank,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Weekly Wages,Annual Wages,Year
1,FC Cincinnati,34,20,9,5,57,39,18,69,2.0294117647058822,56.3,40.7,15.6,0.46,25367,238851,12420234,2023
2,Orlando City,34,18,9,7,55,39,16,63,1.8529411764705883,42.1,40.7,1.4,0.04,20590,163027,8477421,2023
3,Columbus Crew,34,16,9,9,67,46,21,57,1.6764705882352942,57.7,41.3,16.4,0.48,20314,273433,14218495,2023
4,Philadelphia,34,15,10,9,57,41,16,55,1.6176470588235294,49.4,44.2,5.3,0.16,18907,219403,11408939,2023
5,New England,34,15,10,9,58,46,12,55,1.6176470588235294,42.5,45,-2.5,-0.07,23940,294776,15328331,2023
6,Atlanta Utd,34,13,12,9,66,53,13,51,1.5,48.7,46,2.8,0.08,47526,279190,14517897,2023
7,Nashville,34,13,10,11,39,32,7,49,1.4411764705882353,41.8,36.2,5.6,0.16,28257,293409,15257262,2023
8,NY Red Bulls,34,11,10,13,36,39,-3,43,1.2647058823529411,46.3,33.9,12.4,0.37,18246,192922,10031919,2023
9,Charlotte,34,10,13,11,45,52,-7,43,1.2647058823529411,37,49.7,-12.7,-0.37,36572,243968,12686347,2023
10,CF Montréal,34,12,5,17,36,52,-16,41,1.2058823529411764,37.8,50.2,-12.4,-0.36,17552,176712,9189017,2023
11,NYCFC,34,9,14,11,35,39,-4,41,1.2058823529411764,42,36.1,5.9,0.17,19673,242873,12629372,2023
12,D.C. United,34,10,10,14,45,49,-4,40,1.1764705882352942,45.8,42.6,3.3,0.1,17540,323858,16840628,2023
13,Chicago Fire,34,10,10,14,39,51,-12,40,1.1764705882352942,38.2,51.1,-12.9,-0.38,18170,353168,18364760,2023
14,Inter Miami,34,9,7,18,41,54,-13,34,1,38.2,52.2,-14,-0.41,17698,523449,27219344,2023
15,Toronto FC,34,4,10,20,26,59,-33,22,0.6470588235294118,31.3,54,-22.7,-0.67,25310,411019,21373012,2023
1,St. Louis,34,17,5,12,62,45,17,56,1.6470588235294117,42.6,50.1,-7.5,-0.22,22423,190567,9909508,2023
2,Seattle,34,14,11,9,41,32,9,53,1.5588235294117647,48.1,32.2,15.9,0.47,32161,330406,17181123,2023
3,Los Angeles FC,34,14,10,10,54,39,15,52,1.5294117647058822,55.6,38,17.6,0.52,22155,340109,17685661,2023
4,Dynamo FC,34,14,9,11,51,38,13,51,1.5,44.9,41,3.9,0.11,15029,250535,13027816,2023
5,Real Salt Lake,34,14,8,12,48,50,-2,50,1.4705882352941178,43.3,48.7,-5.4,-0.16,19429,246882,12837859,2023
6,Vancouver,34,12,12,10,55,48,7,48,1.411764705882353,54.6,43.1,11.5,0.34,16745,216985,11283241,2023
7,FC Dallas,34,11,13,10,41,37,4,46,1.3529411764705883,37.8,36.6,1.2,0.04,18239,247481,12868994,2023
8,Sporting KC,34,12,8,14,48,51,-3,44,1.2941176470588236,41.1,45.1,-4.1,-0.12,18616,278035,14457800,2023
9,San Jose,34,10,14,10,39,43,-4,44,1.2941176470588236,44.3,51.4,-7.2,-0.21,18412,254841,13251731,2023
10,Portland Timbers,34,11,10,13,46,58,-12,43,1.2647058823529411,41.2,44.1,-2.9,-0.09,23103,262619,13656183,2023
11,Minnesota Utd,34,10,11,13,46,51,-5,41,1.2058823529411764,53.4,47.6,5.8,0.17,19568,241366,12551017,2023
12,Austin,34,10,9,15,49,55,-6,39,1.1470588235294117,42.5,49.9,-7.4,-0.22,20738,284055,14770870,2023
13,LA Galaxy,34,8,12,14,51,67,-16,36,1.0588235294117647,51.2,54.5,-3.3,-0.1,24106,405148,21067711,2023
14,Colorado Rapids,34,5,12,17,26,54,-28,27,0.7941176470588235,37.9,47.4,-9.5,-0.28,15409,247668,12878724,2023
1,Philadelphia,34,19,10,5,72,26,46,67,1.9705882352941178,59.3,38,21.3,0.63,18126,176884,9197966,2022
2,CF Montréal,34,20,5,9,63,50,13,65,1.911764705882353,55.3,37.1,18.2,0.54,15769,186392,9692363,2022
3,NYCFC,34,16,7,11,57,41,16,55,1.6176470588235294,58.5,38.1,20.4,0.6,17180,221083,11496332,2022
4,NY Red Bulls,34,15,8,11,50,41,9,53,1.5588235294117647,45.5,39.2,6.3,0.18,17002,195879,10185729,2022
5,FC Cincinnati,34,12,13,9,64,56,8,49,1.4411764705882353,55.7,48.3,7.4,0.22,22487,233405,12137044,2022
6,Inter Miami,34,14,6,14,47,56,-9,48,1.411764705882353,42,48.5,-6.5,-0.19,11871,218192,11345988,2022
7,Orlando City,34,14,6,14,44,53,-9,48,1.411764705882353,40.1,48.1,-8,-0.24,14331,199740,10386496,2022
8,Columbus Crew,34,10,16,8,46,41,5,46,1.3529411764705883,40.6,42.7,-2.1,-0.06,19237,309165,16076572,2022
9,Charlotte,34,13,3,18,44,52,-8,42,1.2352941176470589,41.8,44.1,-2.3,-0.07,35260,161317,8388500,2022
10,New England,34,10,12,12,47,50,-3,42,1.2352941176470589,44.7,53.7,-9,-0.26,21221,299991,15599541,2022
11,Atlanta Utd,34,10,10,14,48,54,-6,40,1.1764705882352942,55.8,50.2,5.6,0.16,47116,303753,15795135,2022
12,Chicago Fire,34,10,9,15,39,48,-9,39,1.1470588235294117,47,47,0,0,15848,302827,15747004,2022
13,Toronto FC,34,9,7,18,49,66,-17,34,1,42.3,58.7,-16.4,-0.48,25423,706404,36733000,2022
14,D.C. United,34,7,6,21,36,71,-35,27,0.7941176470588235,36.9,57.6,-20.7,-0.61,16256,209801,10909643,2022
1,Philadelphia,34,19,10,5,72,26,46,67,1.9705882352941178,59.3,38,21.3,0.63,18126,176884,9197966,2022
2,CF Montréal,34,20,5,9,63,50,13,65,1.911764705882353,55.3,37.1,18.2,0.54,15769,186392,9692363,2022
3,NYCFC,34,16,7,11,57,41,16,55,1.6176470588235294,58.5,38.1,20.4,0.6,17180,221083,11496332,2022
4,NY Red Bulls,34,15,8,11,50,41,9,53,1.5588235294117647,45.5,39.2,6.3,0.18,17002,195879,10185729,2022
5,FC Cincinnati,34,12,13,9,64,56,8,49,1.4411764705882353,55.7,48.3,7.4,0.22,22487,233405,12137044,2022
6,Inter Miami,34,14,6,14,47,56,-9,48,1.411764705882353,42,48.5,-6.5,-0.19,11871,218192,11345988,2022
7,Orlando City,34,14,6,14,44,53,-9,48,1.411764705882353,40.1,48.1,-8,-0.24,14331,199740,10386496,2022
8,Columbus Crew,34,10,16,8,46,41,5,46,1.3529411764705883,40.6,42.7,-2.1,-0.06,19237,309165,16076572,2022
9,Charlotte,34,13,3,18,44,52,-8,42,1.2352941176470589,41.8,44.1,-2.3,-0.07,35260,161317,8388500,2022
10,New England,34,10,12,12,47,50,-3,42,1.2352941176470589,44.7,53.7,-9,-0.26,21221,299991,15599541,2022
11,Atlanta Utd,34,10,10,14,48,54,-6,40,1.1764705882352942,55.8,50.2,5.6,0.16,47116,303753,15795135,2022
12,Chicago Fire,34,10,9,15,39,48,-9,39,1.1470588235294117,47,47,0,0,15848,302827,15747004,2022
13,Toronto FC,34,9,7,18,49,66,-17,34,1,42.3,58.7,-16.4,-0.48,25423,706404,36733000,2022
14,D.C. United,34,7,6,21,36,71,-35,27,0.7941176470588235,36.9,57.6,-20.7,-0.61,16256,209801,10909643,2022
1,New England,34,22,7,5,65,41,24,73,2.1470588235294117,59.4,48.1,11.3,0.33,12204,199434,10370563,2021
2,Philadelphia,34,14,12,8,48,35,13,54,1.588235294117647,49.4,41.7,7.7,0.23,11385,168585,8766435,2021
3,Nashville,34,12,18,4,55,33,22,54,1.588235294117647,50.5,37.9,12.6,0.37,17485,185126,9626548,2021
4,NYCFC,34,14,9,11,56,36,20,51,1.5,58.8,36.9,21.9,0.64,1915,235331,12237210,2021
5,Atlanta Utd,34,13,12,9,45,37,8,51,1.5,47.7,48.8,-1.1,-0.03,43964,323021,16797116,2021
6,Orlando City,34,13,12,9,50,48,2,51,1.5,46.4,43.5,2.9,0.09,14723,203696,10592196,2021
7,NY Red Bulls,34,13,9,12,39,33,6,48,1.411764705882353,50.6,39.9,10.7,0.31,10065,159814,8310339,2021
8,D.C. United,34,14,5,15,56,54,2,47,1.3823529411764706,55.7,43.9,11.8,0.35,11880,199150,10355810,2021
9,Columbus Crew,34,13,8,13,46,45,1,47,1.3823529411764706,43.4,49.2,-5.9,-0.17,16583,252001,13104073,2021
10,CF Montréal,34,12,10,12,46,44,2,46,1.3529411764705883,48.5,44.3,4.2,0.12,647,204879,10653723,2021
11,Inter Miami,34,12,5,17,36,53,-17,41,1.2058823529411764,38.3,57.2,-18.9,-0.56,11635,298696,15532184,2021
12,Chicago Fire,34,9,7,18,36,54,-18,34,1,46,57,-11,-0.32,10226,213408,11097211,2021
13,Toronto FC,34,6,10,18,39,66,-27,28,0.8235294117647058,44.4,61.4,-16.9,-0.5,4181,299360,15566719,2021
14,FC Cincinnati,34,4,8,22,37,74,-37,20,0.5882352941176471,42.2,62.2,-20,-0.59,21175,231254,12025186,2021
1,New England,34,22,7,5,65,41,24,73,2.1470588235294117,59.4,48.1,11.3,0.33,12204,199434,10370563,2021
2,Philadelphia,34,14,12,8,48,35,13,54,1.588235294117647,49.4,41.7,7.7,0.23,11385,168585,8766435,2021
3,Nashville,34,12,18,4,55,33,22,54,1.588235294117647,50.5,37.9,12.6,0.37,17485,185126,9626548,2021
4,NYCFC,34,14,9,11,56,36,20,51,1.5,58.8,36.9,21.9,0.64,1915,235331,12237210,2021
5,Atlanta Utd,34,13,12,9,45,37,8,51,1.5,47.7,48.8,-1.1,-0.03,43964,323021,16797116,2021
6,Orlando City,34,13,12,9,50,48,2,51,1.5,46.4,43.5,2.9,0.09,14723,203696,10592196,2021
7,NY Red Bulls,34,13,9,12,39,33,6,48,1.411764705882353,50.6,39.9,10.7,0.31,10065,159814,8310339,2021
8,D.C. United,34,14,5,15,56,54,2,47,1.3823529411764706,55.7,43.9,11.8,0.35,11880,199150,10355810,2021
9,Columbus Crew,34,13,8,13,46,45,1,47,1.3823529411764706,43.4,49.2,-5.9,-0.17,16583,252001,13104073,2021
10,CF Montréal,34,12,10,12,46,44,2,46,1.3529411764705883,48.5,44.3,4.2,0.12,647,204879,10653723,2021
11,Inter Miami,34,12,5,17,36,53,-17,41,1.2058823529411764,38.3,57.2,-18.9,-0.56,11635,298696,15532184,2021
12,Chicago Fire,34,9,7,18,36,54,-18,34,1,46,57,-11,-0.32,10226,213408,11097211,2021
13,Toronto FC,34,6,10,18,39,66,-27,28,0.8235294117647058,44.4,61.4,-16.9,-0.5,4181,299360,15566719,2021
14,FC Cincinnati,34,4,8,22,37,74,-37,20,0.5882352941176471,42.2,62.2,-20,-0.59,21175,231254,12025186,2021
1,NYCFC,34,18,10,6,63,42,21,64,1.8823529411764706,58.7,47.1,11.6,0.34,21107,187494,9749672,2019
2,Atlanta Utd,34,18,4,12,58,43,15,58,1.7058823529411764,61.8,48.8,13,0.38,52510,239887,12474136,2019
3,Philadelphia,34,16,7,11,58,50,8,55,1.6176470588235294,57.4,48.1,9.3,0.27,17111,171938,8940762,2019
4,Toronto FC,34,13,11,10,57,52,5,50,1.4705882352941178,52.8,53.9,-1.1,-0.03,25048,415303,21595741,2019
5,D.C. United,34,13,11,10,42,38,4,50,1.4705882352941178,43.6,52,-8.5,-0.25,17744,187189,9733824,2019
6,NY Red Bulls,34,14,6,14,53,51,2,48,1.411764705882353,50.7,55.5,-4.7,-0.14,17751,155998,8111873,2019
7,New England,34,11,12,11,50,57,-7,45,1.3235294117647058,57.5,65.3,-7.8,-0.23,16737,189286,9842861,2019
8,Chicago Fire,34,10,12,12,55,47,8,42,1.2352941176470589,62.1,48.8,13.3,0.39,12324,296402,15412907,2019
9,Montreal Impact,34,12,5,17,47,60,-13,41,1.2058823529411764,47.6,55.5,-7.9,-0.23,16171,162497,8449849,2019
10,Columbus Crew,34,10,8,16,39,47,-8,38,1.1176470588235294,43.6,48,-4.4,-0.13,14856,187367,9743087,2019
11,Orlando City,34,9,10,15,44,52,-8,37,1.088235294117647,49.6,48.7,0.9,0.03,22761,222480,11568958,2019
12,FC Cincinnati,34,6,6,22,31,75,-44,24,0.7058823529411765,37.7,63.8,-26.1,-0.77,27336,160893,8366452,2019
1,NYCFC,34,18,10,6,63,42,21,64,1.8823529411764706,58.7,47.1,11.6,0.34,21107,187494,9749672,2019
2,Atlanta Utd,34,18,4,12,58,43,15,58,1.7058823529411764,61.8,48.8,13,0.38,52510,239887,12474136,2019
3,Philadelphia,34,16,7,11,58,50,8,55,1.6176470588235294,57.4,48.1,9.3,0.27,17111,171938,8940762,2019
4,Toronto FC,34,13,11,10,57,52,5,50,1.4705882352941178,52.8,53.9,-1.1,-0.03,25048,415303,21595741,2019
5,D.C. United,34,13,11,10,42,38,4,50,1.4705882352941178,43.6,52,-8.5,-0.25,17744,187189,9733824,2019
6,NY Red Bulls,34,14,6,14,53,51,2,48,1.411764705882353,50.7,55.5,-4.7,-0.14,17751,155998,8111873,2019
7,New England,34,11,12,11,50,57,-7,45,1.3235294117647058,57.5,65.3,-7.8,-0.23,16737,189286,9842861,2019
8,Chicago Fire,34,10,12,12,55,47,8,42,1.2352941176470589,62.1,48.8,13.3,0.39,12324,296402,15412907,2019
9,Montreal Impact,34,12,5,17,47,60,-13,41,1.2058823529411764,47.6,55.5,-7.9,-0.23,16171,162497,8449849,2019
10,Columbus Crew,34,10,8,16,39,47,-8,38,1.1176470588235294,43.6,48,-4.4,-0.13,14856,187367,9743087,2019
11,Orlando City,34,9,10,15,44,52,-8,37,1.088235294117647,49.6,48.7,0.9,0.03,22761,222480,11568958,2019
12,FC Cincinnati,34,6,6,22,31,75,-44,24,0.7058823529411765,37.7,63.8,-26.1,-0.77,27336,160893,8366452,2019
1,NY Red Bulls,34,22,5,7,62,33,29,71,2.088235294117647,62.3,45.9,16.4,0.48,18601,105585,5490430,2018
2,Atlanta Utd,34,21,6,7,70,44,26,69,2.0294117647058822,79.1,43.3,35.8,1.05,53002,176779,9192532,2018
3,NYCFC,34,16,8,10,59,45,14,56,1.6470588235294117,57.8,45,12.8,0.38,23211,205175,10669120,2018
4,D.C. United,34,14,9,11,60,50,10,51,1.5,48.9,52,-3.1,-0.09,17635,176779,9192532,2018
5,Columbus Crew,34,14,9,11,43,45,-2,51,1.5,54.1,35.9,18.1,0.53,12447,140112,7285837,2018
6,Philadelphia,34,15,5,14,49,50,-1,50,1.4705882352941178,56.1,52.7,3.4,0.1,16518,163292,8491198,2018
7,Montreal Impact,34,14,4,16,47,53,-6,46,1.3529411764705883,44.6,51.2,-6.6,-0.2,18569,155808,8105660,2018
8,New England,34,10,11,13,49,55,-6,41,1.2058823529411764,46.9,55,-8.1,-0.24,18347,130316,6776441,2018
9,Toronto FC,34,10,6,18,59,64,-5,36,1.0588235294117647,62.4,59.4,2.9,0.09,26628,457919,23811805,2018
10,Chicago Fire,34,8,8,18,48,61,-13,32,0.9411764705882353,39.2,62.7,-23.5,-0.69,14806,282715,14701163,2018
11,Orlando City,34,8,4,22,43,74,-31,28,0.8235294117647058,47.1,64.5,-17.3,-0.51,23866,155878,8105660,2018
1,NY Red Bulls,34,22,5,7,62,33,29,71,2.088235294117647,62.3,45.9,16.4,0.48,18601,141413,7353490,2018
2,Atlanta Utd,34,21,6,7,70,44,26,69,2.0294117647058822,79.1,43.3,35.8,1.05,53002,205175,10669120,2018
3,NYCFC,34,16,8,10,59,45,14,56,1.6470588235294117,57.8,45,12.8,0.38,23211,266809,13874057,2018
4,D.C. United,34,14,9,11,60,50,10,51,1.5,48.9,52,-3.1,-0.09,17635,176779,9192532,2018
5,Columbus Crew,34,14,9,11,43,45,-2,51,1.5,54.1,35.9,18.1,0.53,12447,140112,7285837,2018
6,Philadelphia,34,15,5,14,49,50,-1,50,1.4705882352941178,56.1,52.7,3.4,0.1,16518,163292,8491198,2018
7,Montreal Impact,34,14,4,16,47,53,-6,46,1.3529411764705883,44.6,51.2,-6.6,-0.2,18569,155808,8102002,2018
8,New England,34,10,11,13,49,55,-6,41,1.2058823529411764,46.9,55,-8.1,-0.24,18347,130316,6776441,2018
9,Toronto FC,34,10,6,18,59,64,-5,36,1.0588235294117647,62.4,59.4,2.9,0.09,26628,457919,23811805,2018
10,Chicago Fire,34,8,8,18,48,61,-13,32,0.9411764705882353,39.2,62.7,-23.5,-0.69,14806,282715,14701163,2018
11,Orlando City,34,8,4,22,43,74,-31,28,0.8235294117647058,47.1,64.5,-17.3,-0.51,23866,155878,8105660,2018
